CAPEC ID,CAPEC Name,Abstraction,Status,Description,Likelihood of Attack,Typical Severity,Execution Flow,Prerequisites,Skills Required,Resources Required,Indicators,Consequences,Mitigations,Example Instances
643,Identify Shared Files/Directories on System,Detailed,Draft,"An adversary discovers connections between systems by exploiting the target system's standard practice of revealing them in searchable, common areas. Through the identification of shared folders/drives between systems, the adversary may further their goal",Medium,Medium,,"The adversary must have obtained logical access to the system by some means (e.g., via obtained credentials or planting malware on the system).","SKILL:Once the adversary has logical access (which can potentially require high knowledge and skill level), the adversary needs only the capability and facility to navigate the system through the OS graphical user interface or the command line. The advers",None: No specialized resources are required to execute this type of attack.,,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data:NOTE:The adversary is potentially able to identify the location of sensitive information or lateral pathways through the network.,"Identify unnecessary system utilities or potentially malicious software that may contain functionality to identify network share information, and audit and/or block them by using allowlist tools.",
644,Use of Captured Hashes (Pass The Hash),Detailed,Stable,An adversary obtains (i.e. steals or purchases) legitimate Windows domain credential hash values to access systems within the domain that leverage the Lan Man (LM) and/or NT Lan Man (NTLM) authentication protocols.,Medium,High,STEP:1:PHASE:Explore:DESCRIPTION:[Acquire known Windows credential hash value pairs] The adversary must obtain known Windows credential hash value pairs of accounts that exist on the domain.:TECHNIQUE:An adversary purchases breached Windows credential has,The system/application is connected to the Windows domain. The system/application leverages the Lan Man (LM) and/or NT Lan Man (NTLM) authentication protocols. The adversary possesses known Windows credential hash value pairs that exist on the target doma,"SKILL:Once an adversary obtains a known Windows credential hash value pair, leveraging it is trivial.:LEVEL:Low",A list of known Window credential hash value pairs for the targeted domain.,Authentication attempts use credentials that have been used previously by the account in question. Authentication attempts are originating from IP addresses or locations that are inconsistent with the user's normal IP addresses or locations. Data is being,SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authentication:TECHNICAL IMPACT:Gain Privileges SCOPE:Confidentiality:SCOPE:Authorization:TECHNICAL IMPACT:Read Data SCOPE:Integrity:TECHNICAL IMPACT:Modify Data,Prevent the use of Lan Man and NT Lan Man authentication on severs and apply patch KB2871997 to Windows 7 and higher systems. Leverage multi-factor authentication for all authentication services and prior to granting an entity access to the domain network,Adversaries exploited the Zoom video conferencing application during the 2020 COVID-19 pandemic to exfiltrate Windows domain credential hash value pairs from a target system. The attack entailed sending Universal Naming Convention (UNC) paths within the Z
645,Use of Captured Tickets (Pass The Ticket),Detailed,Stable,An adversary uses stolen Kerberos tickets to access systems/resources that leverage the Kerberos authentication protocol. The Kerberos authentication protocol centers around a ticketing system which is used to request/grant access to services and to then ,Low,High,,The adversary needs physical access to the victim system. The use of a third-party credential harvesting tool.,SKILL:Determine if Kerberos authentication is used on the server.:LEVEL:Low SKILL:The adversary uses a third-party tool to obtain the necessary tickets to execute the attack.:LEVEL:High,,,SCOPE:Integrity:TECHNICAL IMPACT:Gain Privileges,Reset the built-in KRBTGT account password twice to invalidate the existence of any current Golden Tickets and any tickets derived from them. Monitor system and domain logs for abnormal access.,"Bronze Butler (also known as Tick), has been shown to leverage forged Kerberos Ticket Granting Tickets (TGTs) and Ticket Granting Service (TGS) tickets to maintain administrative access on a number of systems. [REF-584]"
646,Peripheral Footprinting,Standard,Stable,"Adversaries may attempt to obtain information about attached peripheral devices and components connected to a computer system. Examples may include discovering the presence of iOS devices by searching for backups, analyzing the Windows registry to determi",Low,Medium,,The adversary needs either physical or remote access to the victim system.,"SKILL:The adversary needs to be able to infect the victim system in a manner that gives them remote access.:LEVEL:Medium SKILL:If analyzing the Windows registry, the adversary must understand the registry structure to know where to look for devices.:LEVEL",,,,Identify programs that may be used to acquire peripheral information and block them by using a software restriction policy or tools that restrict program execution by using a process allowlist.,
647,Collect Data from Registries,Detailed,Draft,"An adversary exploits a weakness in authorization to gather system-specific data and sensitive information within a registry (e.g., Windows Registry, Mac plist). These contain information about the system configuration, software, operating system, and sec",Medium,Medium,"STEP:1:PHASE:Explore:DESCRIPTION:[Gain logical access to system] An adversary must first gain logical access to the system it wants to gather registry information from,:TECHNIQUE:Obtain user account credentials and access the system:TECHNIQUE:Plant malwar","The adversary must have obtained logical access to the system by some means (e.g., via obtained credentials or planting malware on the system). The adversary must have capability to navigate the operating system to peruse the registry.","SKILL:Once the adversary has logical access (which can potentially require high knowledge and skill level), the adversary needs only the capability and facility to navigate the system through the OS graphical user interface or the command line.:LEVEL:Low",None: No specialized resources are required to execute this type of attack.,,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data:NOTE:The adversary is able to read sensitive information about the system in the registry.,"Employ a robust and layered defensive posture in order to prevent unauthorized users on your system. Employ robust identification and audit/blocking via using an allowlist of applications on your system. Unnecessary applications, utilities, and configurat",
648,Collect Data from Screen Capture,Detailed,Draft,"An adversary gathers sensitive information by exploiting the system's screen capture functionality. Through screenshots, the adversary aims to see what happens on the screen over the course of an operation. The adversary can leverage information gathered ",Medium,Medium,,"The adversary must have obtained logical access to the system by some means (e.g., via obtained credentials or planting malware on the system).","SKILL:Once the adversary has logical access (which can potentially require high knowledge and skill level), the adversary needs only to leverage the relevant command for screen capture.:LEVEL:Low",None: No specialized resources are required to execute this type of attack.,,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data:NOTE:The adversary is able to capture potentially sensitive information and processes as they appear on the screen.,"Identify potentially malicious software that may have functionality to acquire screen captures, and audit and/or block it by using allowlist tools. While screen capture is a legitimate and practical function, certain situations and context may require the",
649,Adding a Space to a File Extension,Detailed,Draft,"An adversary adds a space character to the end of a file extension and takes advantage of an application that does not properly neutralize trailing special elements in file names. This extra space, which can be difficult for a user to notice, affects whic",Low,Medium,,The use of the file must be controlled by the file extension.,,,,SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands,File extensions should be checked to see if non-visible characters are being included.,
650,Upload a Web Shell to a Web Server,Detailed,Draft,"By exploiting insufficient permissions, it is possible to upload a web shell to a web server in such a way that it can be executed remotely. This shell can have various capabilities, thereby acting as a gateway to the underlying web server. The shell migh",,High,,The web server is susceptible to one of the various web application exploits that allows for uploading a shell file.,,,,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands,"Make sure your web server is up-to-date with all patches to protect against known vulnerabilities. Ensure that the file permissions in directories on the web server from which files can be execute is set to the least privilege settings, and that those dir",
651,Eavesdropping,Standard,Draft,"An adversary intercepts a form of communication (e.g. text, audio, video) by way of software (e.g., microphone and audio recording application), hardware (e.g., recording equipment), or physical means (e.g., physical proximity). The goal of eavesdropping ",,Medium,,"The adversary typically requires physical proximity to the target's environment, whether for physical eavesdropping or for placing recording equipment. This is not always the case for software-based eavesdropping, if the adversary has the capability to in",,"For logical eavesdropping, some equipment may be necessary (e.g., microphone, tape recorder, etc.). For physical eavesdropping, only proximity is required.",,SCOPE:Confidentiality:TECHNICAL IMPACT:Other:NOTE:The adversary gains unauthorized access to information.,Be mindful of your surroundings when discussing sensitive information in public areas. Implement proper software restriction policies to only allow authorized software on your environment. Use of anti-virus and other security monitoring and detecting tool,
652,Use of Known Kerberos Credentials,Standard,Draft,"An adversary obtains (i.e. steals or purchases) legitimate Kerberos credentials (e.g. Kerberos service account userID/password or Kerberos Tickets) with the goal of achieving authenticated access to additional systems, applications, or services within the",Medium,High,"STEP:1:PHASE:Explore:DESCRIPTION:[Acquire known Kerberos credentials] The adversary must obtain known Kerberos credentials in order to access the target system, application, or service within the domain.:TECHNIQUE:An adversary purchases breached Kerberos ","The system/application leverages Kerberos authentication. The system/application uses one factor password-based authentication, SSO, and/or cloud-based authentication for Kerberos service accounts. The system/application does not have a sound password pol","SKILL:Once an adversary obtains a known Kerberos credential, leveraging it is trivial.:LEVEL:Low",A valid Kerberos ticket or a known Kerberos service account credential.,Authentication attempts use expired or invalid credentials. Authentication attempts are originating from IP addresses or locations that are inconsistent with an account's normal IP addresses or locations. Data is being transferred and/or removed from syst,SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authentication:TECHNICAL IMPACT:Gain Privileges SCOPE:Confidentiality:SCOPE:Authorization:TECHNICAL IMPACT:Read Data SCOPE:Integrity:TECHNICAL IMPACT:Modify Data,"Create a strong password policy and ensure that your system enforces this policy for Kerberos service accounts. Ensure Kerberos service accounts are not reusing username/password combinations for multiple systems, applications, or services. Do not reuse K","Bronze Butler (also known as Tick), has been shown to leverage forged Kerberos Ticket Granting Tickets (TGTs) and Ticket Granting Service (TGS) tickets to maintain administrative access on a number of systems. [REF-584] PowerSploit's Invoke-Kerberoast mod"
653,Use of Known Operating System Credentials,Standard,Draft,"An adversary guesses or obtains (i.e. steals or purchases) legitimate operating system credentials (e.g. userID/password) to achieve authentication and to perform authorized actions on the system, under the guise of an authenticated user or service. This ",High,High,"STEP:1:PHASE:Explore:DESCRIPTION:[Acquire known operating system credentials] The adversary must obtain known operating system credentials in order to access the target system, application, or service within the domain.:TECHNIQUE:An adversary purchases br","The system/application uses one factor password-based authentication, SSO, and/or cloud-based authentication. The system/application does not have a sound password policy that is being enforced. The system/application does not implement an effective passw","SKILL:Once an adversary obtains a known credential, leveraging it is trivial.:LEVEL:Low",A list of known credentials for the targeted domain. A custom script that leverages a credential list to launch an attack.,Authentication attempts use credentials that have been used previously by the account in question. Authentication attempts are originating from IP addresses or locations that are inconsistent with a user's normal IP addresses or locations. Data is being t,SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authentication:TECHNICAL IMPACT:Gain Privileges SCOPE:Confidentiality:SCOPE:Authorization:TECHNICAL IMPACT:Read Data SCOPE:Integrity:TECHNICAL IMPACT:Modify Data,Leverage multi-factor authentication for all authentication services and prior to granting an entity access to the network. Create a strong password policy and ensure that your system enforces this policy. Ensure users are not reusing username/password co,Adversaries exploited the Zoom video conferencing application during the 2020 COVID-19 pandemic to exfiltrate Windows domain credentials from a target system. The attack entailed sending Universal Naming Convention (UNC) paths within the Zoom chat window 
654,Credential Prompt Impersonation,Detailed,Stable,"An adversary, through a previously installed malicious application, impersonates a credential prompt in an attempt to steal a user's credentials.",Medium,High,STEP:1:PHASE:Explore:DESCRIPTION:[Determine suitable tasks to exploit] Determine what tasks exist on the target system that may result in a user providing their credentials.:TECHNIQUE:Determine what tasks prompt a user for their credentials.  STEP:2:PHASE,The adversary must already have access to the target system via some means. A legitimate task must exist that an adversary can impersonate to glean credentials.,"SKILL:Once an adversary has gained access to the target system, impersonating a credential prompt is not difficult.:LEVEL:Low",Malware or some other means to initially comprise the target system. Additional malware to impersonate a legitimate credential prompt.,Credential prompts that appear illegitimate or unexpected.,SCOPE:Access Control:SCOPE:Authentication:TECHNICAL IMPACT:Gain Privileges,"The only known mitigation to this attack is to avoid installing the malicious application on the device. However, to impersonate a running task the malicious application does need the GET_TASKS permission to be able to query the task list, and being suspi","An adversary monitors the system task list for Microsoft Outlook in an attempt to determine when the application may prompt the user to enter their credentials to view encrypted email. Once the task is executed, the adversary impersonates the credential p"
655,Avoid Security Tool Identification by Adding Data,Detailed,Draft,"An adversary adds data to a file to increase the file size beyond what security tools are capable of handling in an attempt to mask their actions. In addition to this, adding data to a file also changes the file's hash, frustrating security tools that loo",High,High,,,,,,SCOPE:Accountability:TECHNICAL IMPACT:Hide Activities:TECHNICAL IMPACT:Bypass Protection Mechanism SCOPE:Integrity:TECHNICAL IMPACT:Modify Data,,Adding data to change the checksum of a file and can be used to avoid hash-based denylists and static anti-virus signatures.
656,Voice Phishing,Detailed,Stable,An adversary targets users with a phishing attack for the purpose of soliciting account passwords or sensitive information from the user. Voice Phishing is a variation of the Phishing social engineering technique where the attack is initiated via a voice ,High,High,STEP:1:PHASE:Explore:DESCRIPTION:[Obtain domain name and certificate to spoof legitimate site] This optional step can be used to help the adversary impersonate the legitimate organization more convincingly. The adversary can use homograph or similar attac,"An adversary needs phone numbers to initiate contact with the victim, in addition to a legitimate-looking telephone number to call the victim from. An adversary needs to correctly guess the entity with which the victim does business and impersonate it. Mo","SKILL:Basic knowledge about websites: obtaining them, designing and implementing them, etc.:LEVEL:Medium",Legitimate-looking telephone number(s) to initiate calls with victims,You receive a call from an entity that you are not even a customer of prompting you to log into your account. You receive any call that requests you provide sensitive information. You are redirected to a website that instructs you to call the number on-sc,SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Integrity:TECHNICAL IMPACT:Modify Data,"Do not accept calls from unknown numbers or from numbers that may be flagged as spam. Also, do not call numbers that appear on-screen after being unexpectedly redirected to potentially malicious websites. In either case, do not provide sensitive informati",The target receives an email or text message stating that their Apple ID has been disabled due to suspicious activity and that the included link includes instructions on how to unlock their Apple account. The link in the text message looks legitimate and 
657,Malicious Automated Software Update via Spoofing,Detailed,Draft,An attackers uses identify or content spoofing to trick a client into performing an automated software update from a malicious source. A malicious automated software update that leverages spoofing can include content or identity spoofing as well as protoc,High,High,,,,,,SCOPE:Access Control:SCOPE:Availability:SCOPE:Confidentiality:TECHNICAL IMPACT:Execute Unauthorized Commands,,An example of the spoofing strategy would be the eTrust Antivirus Webscan Automated Update Remote Code Execution vulnerability (CVE-2006-3976) and (CVE-2006-3977) whereby an ActiveX control could be remotely manipulated by an attacker controlled web page 
660,Root/Jailbreak Detection Evasion via Hooking,Detailed,Stable,"An adversary forces a non-restricted mobile application to load arbitrary code or code files, via Hooking, with the goal of evading Root/Jailbreak detection. Mobile device users often Root/Jailbreak their devices in order to gain administrative control ov",Medium,Very High,"STEP:1:PHASE:Explore:DESCRIPTION:[Identify application with attack potential] The adversary searches for and identifies a mobile application that could be exploited for malicious purposes (e.g. banking, voting, or medical applications).:TECHNIQUE:Search a",The targeted application must be non-restricted to allow code hooking.,SKILL:Knowledge about Root/Jailbreak detection and evasion techniques.:LEVEL:High SKILL:Knowledge about code hooking.:LEVEL:Medium,The adversary must have a Rooted/Jailbroken mobile device. The adversary needs to have enough access to the target application to control the included code or file.,,"SCOPE:Integrity:SCOPE:Authorization:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Through Root/Jailbreak Detection Evasion via Hooking, the adversary compromises the integrity of the application. SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Auth","Ensure mobile applications are signed appropriately to avoid code inclusion via hooking. Inspect the application's memory for suspicious artifacts, such as shared objects/JARs or dylibs, after other Root/Jailbreak detection methods. Inspect the applicatio",An adversary targets a non-restricted iOS banking application in an attempt to compromise sensitive user data. The adversary creates Objective-C runtime code that always returns false when checking for the existence of the Cydia application. The malicious
661,Root/Jailbreak Detection Evasion via Debugging,Detailed,Stable,"An adversary inserts a debugger into the program entry point of a mobile application to modify the application binary, with the goal of evading Root/Jailbreak detection. Mobile device users often Root/Jailbreak their devices in order to gain administrativ",Medium,Very High,"STEP:1:PHASE:Explore:DESCRIPTION:[Identify application with attack potential] The adversary searches for and identifies a mobile application that could be exploited for malicious purposes (e.g. banking, voting, or medical applications).:TECHNIQUE:Search a",A debugger must be able to be inserted into the targeted application.,SKILL:Knowledge about Root/Jailbreak detection and evasion techniques.:LEVEL:High SKILL:Knowledge about runtime debugging.:LEVEL:Medium,The adversary must have a Rooted/Jailbroken mobile device with debugging capabilities.,,"SCOPE:Integrity:SCOPE:Authorization:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Through Root/Jailbreak Detection Evasion via Debugging, the adversary compromises the integrity of the application. SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Au",Instantiate checks within the application code that ensures debuggers are not attached.,"An adversary targets an iOS banking application in an attempt to compromise sensitive user data. The adversary launches the application with the iOS debugger and sets a breakpoint at the program entry point, after the application's signature has been veri"
662,Adversary in the Browser (AiTB),Standard,Stable,"An adversary exploits security vulnerabilities or inherent functionalities of a web browser, in order to manipulate traffic between two endpoints.",High,Very High,"STEP:1:PHASE:Experiment:DESCRIPTION:The adversary tricks the victim into installing the Trojan Horse malware onto their system.:TECHNIQUE:Conduct phishing attacks, drive-by malware installations, or masquerade malicious browser extensions as being legitim",The adversary must install or convince a user to install a Trojan. There are two components communicating with each other. An attacker is able to identify the nature and mechanism of communication between the two target components. Strong mutual authentic,"SKILL:Tricking the victim into installing the Trojan is often the most difficult aspect of this attack. Afterwards, the remainder of this attack is fairly trivial.:LEVEL:Medium",,,SCOPE:Integrity:TECHNICAL IMPACT:Modify Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,"Ensure software and applications are only downloaded from legitimate and reputable sources, in addition to conducting integrity checks on the downloaded component. Leverage anti-malware tools, which can detect Trojan Horse malware. Use strong, out-of-band",An adversary conducts a phishing attack and tricks a victim into installing a malicious browser plugin. The adversary then positions themself between the victim and their banking institution. The victim begins by initiating a funds transfer from their per
663,Exploitation of Transient Instruction Execution,Standard,Stable,"An adversary exploits a hardware design flaw in a CPU implementation of transient instruction execution to expose sensitive data and bypass/subvert access control over restricted resources. Typically, the adversary conducts a covert channel attack to targ",Low,Very High,STEP:1:PHASE:Explore:DESCRIPTION:[Survey target application and relevant OS shared code libraries] Adversary identifies vulnerable transient instruction sets and the code/function calls to trigger them as well as instruction sets or code fragments (gadget,The adversary needs at least user execution access to a system and a maliciously crafted program/application/process with unprivileged code to misuse transient instruction set execution of the CPU.,SKILL:Detailed knowledge on how various CPU architectures and microcode perform transient execution for various low-level assembly language code instructions/operations.:LEVEL:High SKILL:Detailed knowledge on compiled binaries and operating system shared ,"C2C mechanism or direct access to victim system, capable of dropping malicious program and collecting covert channel attack data. Malicious program capable of triggering execution of transient instructions or vulnerable instruction sequences of victim pro",File Signatures for Malicious Software capable of abusing Transient Instruction Set Execution,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Access Control:TECHNICAL IMPACT:Bypass Protection Mechanism SCOPE:Authorization:TECHNICAL IMPACT:Execute Unauthorized Commands,Implementation: DAWG (Dynamically Allocated Way Guard) - processor cache properly divided between different programs/processes that don't share resources Implementation: KPTI (Kernel Page-Table Isolation) to completely separate user-space and kernel space,A web browser with user-privileges executes JavaScript code imbedded within a malicious website. The system does not disable shared buffers for the web browser and there is no restriction or check upon user-process execution of flush or evict instructions
664,Server Side Request Forgery,Standard,Stable,"An adversary exploits improper input validation by submitting maliciously crafted input to a target application running on a server, with the goal of forcing the server to make a request either to itself, to web services running in the serverâ€™s internal",High,High,STEP:1:PHASE:Explore:DESCRIPTION:[Find target application] Find target web application that accepts a user input and retrieves data from the server  STEP:2:PHASE:Experiment:DESCRIPTION:[Examine existing application requests] Examine HTTP/GET requests to v,Server must be running a web application that processes HTTP requests.,"SKILL:The adversary will have to detect the vulnerability through an intermediary service or specify maliciously crafted URLs and analyze the server response.:LEVEL:Medium SKILL:The adversary will be required to access internal resources, extract informat",[None] No specialized resources are required to execute this type of attack.,,SCOPE:Integrity:SCOPE:Confidentiality:SCOPE:Availability:TECHNICAL IMPACT:Modify Data SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Availability:TECHNICAL IMPACT:Resource Consumption,"Handling incoming requests securely is the first line of action to mitigate this vulnerability. This can be done through URL validation. Further down the process flow, examining the response and verifying that it is as expected before sending would be ano","An e-commerce website allows a customer to filter results by specific categories. When the customer selects the category of choice, the web shop queries a back-end service to retrieve the requested products. The request may look something like: POST /prod"
665,Exploitation of Thunderbolt Protection Flaws,Detailed,Stable,"An adversary leverages a firmware weakness within the Thunderbolt protocol, on a computing device to manipulate Thunderbolt controller firmware in order to exploit vulnerabilities in the implementation of authorization and verification schemes within Thun",Low,Very High,"STEP:1:PHASE:Explore:DESCRIPTION:[Survey physical victim environment and potential Thunderbolt system targets] The adversary monitors the target's physical environment to identify systems with Thunderbolt interfaces, identify potential weaknesses in physi","The adversary needs at least a few minutes of physical access to a system with an open Thunderbolt port, version 3 or lower, and an external thunderbolt device controlled by the adversary with maliciously crafted software and firmware, via an SPI Programm","SKILL:Detailed knowledge on various system motherboards, PCI Express Domain, SPI, and Thunderbolt Protocol in order to interface with internal system components via external devices.:LEVEL:High SKILL:Detailed knowledge on OS/Kernel memory address space, D","SPI Programming device capable of modifying/configuring or replacing the firmware of Thunderbolt device stored on SPI Flash of target Thunderbolt controller, as well as modification/spoofing of adversary-controlled Thunderbolt controller. Precrafted scrip",Windows Event logs may document the access of Thunderbolt port as a USB 3.0 event as well as any malicious actions taken upon target device as file system and memory events.,SCOPE:Access Control:TECHNICAL IMPACT:Bypass Protection Mechanism SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Integrity:TECHNICAL IMPACT:Modify Data SCOPE:Authorization:TECHNICAL IMPACT:Execute Unauthorized Commands,Implementation: Kernel Direct Memory Access Protection Configuration: Enable UEFI option USB Passthrough mode - Thunderbolt 3 system port operates as USB 3.1 Type C interface Configuration: Enable UEFI option DisplayPort mode - Thunderbolt 3 system port o,"An adversary steals a password protected laptop that contains a Thunderbolt 3 enabled port, from a work environment. The adversary uses a screw driver to remove the back panel of the laptop and connects a SPI Programming device to the Thunderbolt Host Con"
666,BlueSmacking,Standard,Draft,An adversary uses Bluetooth flooding to transfer large packets to Bluetooth enabled devices over the L2CAP protocol with the goal of creating a DoS. This attack must be carried out within close proximity to a Bluetooth enabled device.,Medium,Medium,"STEP:1:PHASE:Explore:DESCRIPTION:[Scan for Bluetooth Enabled Devices] Using BlueZ along with an antenna, an adversary searches for devices with Bluetooth on.:TECHNIQUE:Note the MAC address of the device you want to attack.  STEP:2:PHASE:Experiment:DESCRIP",The system/application has Bluetooth enabled.,"SKILL:An adversary only needs a Linux machine along with a Bluetooth adapter, which is extremely common.:LEVEL:Low",,Performance is degraded or halted by incoming L2CAP packets.,SCOPE:Availability:TECHNICAL IMPACT:Unreliable Execution:TECHNICAL IMPACT:Resource Consumption,"Disable Bluetooth when not being used. When using Bluetooth, set it to hidden or non-discoverable mode.",
667,Bluetooth Impersonation AttackS (BIAS),Detailed,Draft,An adversary disguises the MAC address of their Bluetooth enabled device to one for which there exists an active and trusted connection and authenticates successfully. The adversary can then perform malicious actions on the target Bluetooth device dependi,Medium,High,STEP:1:PHASE:Explore:DESCRIPTION:[Find disguise and target] The adversary starts the Bluetooth service on the attacking device and searches for nearby listening devices.:TECHNIQUE:Knowledge of a trusted MAC address.:TECHNIQUE:Scanning for devices other th,Knowledge of a target device's list of trusted connections.,SKILL:Adversaries must be capable of using command line Linux tools.:LEVEL:Low SKILL:Adversaries must be in close proximity to Bluetooth devices.:LEVEL:Low,,,"SCOPE:Integrity:NOTE:An adversary will be impersonating another Bluetooth device, and may gain access to information pertaining to that user along with the ability to manipulate other information. SCOPE:Confidentiality:NOTE:An adversary will have unauthor",Disable Bluetooth in public places. Verify incoming Bluetooth connections; do not automatically trust. Change default PIN passwords and always use one when connecting.,
668,Key Negotiation of Bluetooth Attack (KNOB),Standard,Draft,An adversary can exploit a flaw in Bluetooth key negotiation allowing them to decrypt information sent between two devices communicating via Bluetooth. The adversary uses an Adversary in the Middle setup to modify packets sent between the two devices duri,Low,High,"STEP:1:PHASE:Explore:DESCRIPTION:[Discovery] Using an established Person in the Middle setup, search for Bluetooth devices beginning the authentication process.:TECHNIQUE:Use packet capture tools.  STEP:2:PHASE:Experiment:DESCRIPTION:[Change the entropy b",Person in the Middle network setup.,SKILL:Ability to modify packets.:LEVEL:Medium,"Bluetooth adapter, packet capturing capabilities.",,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism SCOPE:Integrity:TECHNICAL IMPACT:Modify Data,Newer Bluetooth firmwares ensure that the KNOB is not negotaited in plaintext. Update your device.,"Given users Alice, Bob and Charlie (Charlie being the attacker), Alice and Bob begin to agree on an encryption key when connecting. While Alice sends a message to Bob that an encryption key with 16 bytes of entropy should be used, Charlie changes this to "
669,Alteration of a Software Update,Standard,Draft,"An adversary with access to an organizationâ€™s software update infrastructure inserts malware into the content of an outgoing update to fielded systems where a wide range of malicious effects are possible. With the same level of access, the adversary can",Medium,High,"STEP:1:PHASE:Explore:DESCRIPTION:[Identify software with frequent updates] The adversary must first identify a target software that has updates at least with some frequency, enough that there is am update infrastructure.  STEP:2:PHASE:Experiment:DESCRIPTI",An adversary would need to have penetrated an organizationâ€™s software update infrastructure including gaining access to components supporting the configuration management of software versions and updates related to the software maintenance of customer s,"SKILL:Skills required include the ability to infiltrate the organizationâ€™s software update infrastructure either from the Internet or from within the organization, including subcontractors, and be able to change software being delivered to customer/user",,,SCOPE:Access Control:TECHNICAL IMPACT:Gain Privileges SCOPE:Authorization:TECHNICAL IMPACT:Execute Unauthorized Commands SCOPE:Integrity:TECHNICAL IMPACT:Modify Data SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,"Have a Software Assurance Plan that includes maintaining strict configuration management control of source code, object code and software development, build and distribution tools; manual code reviews and static code analysis for developmental software; a",A subcontractor to a software developer injects maliciously altered software updates into an automated update process that distributes to government and commercial customers software containing a hidden backdoor.
670,Software Development Tools Maliciously Altered,Detailed,Draft,"An adversary with the ability to alter tools used in a development environment causes software to be developed with maliciously modified tools. Such tools include requirements management and database tools, software design tools, configuration management ",Low,High,,"An adversary would need to have access to a targeted developerâ€™s development environment and in particular to tools used to design, create, test and manage software, where the adversary could ensure malicious code is included in software packages built ","SKILL:Ability to leverage common delivery mechanisms (e.g., email attachments, removable media) to infiltrate a development environment to gain access to software development tools for the purpose of malware insertion into an existing tool or replacement ",,,SCOPE:Integrity:TECHNICAL IMPACT:Execute Unauthorized Commands SCOPE:Access Control:TECHNICAL IMPACT:Gain Privileges SCOPE:Confidentiality:TECHNICAL IMPACT:Modify Data:TECHNICAL IMPACT:Read Data,"Have a security concept of operations (CONOPS) for the development environment that includes: Maintaining strict security administration and configuration management of requirements management and database tools, software design tools, configuration manag",An adversary with access to software build tools inside an Integrated Development Environment IDE alters a script used for downloading dependencies from a dependent code repository where the script has been changed to include malicious code implanted in t
671,Requirements for ASIC Functionality Maliciously Altered,Detailed,Draft,"An adversary with access to functional requirements for an application specific integrated circuit (ASIC), a chip designed/customized for a singular particular use, maliciously alters requirements derived from originating capability needs. In the chip man",Low,High,,"An adversary would need to have access to a foundryâ€™s or chip makerâ€™s requirements management system that stores customer requirements for ASICs, requirements upon which the design of the ASIC is based.",SKILL:An adversary would need experience in designing chips based on functional requirements in order to manipulate requirements in such a way that deviations would not be detected in subsequent stages of ASIC manufacture and where intended malicious func,,,SCOPE:Integrity:TECHNICAL IMPACT:Alter Execution Logic,"Utilize DMEAâ€™s (Defense Microelectronics Activity) Trusted Foundry Program members for acquisition of microelectronic components. Ensure that each supplier performing hardware development implements comprehensive, security-focused configuration manageme","An adversary with access to ASIC functionality requirements for various customers, targets a particular customerâ€™s ordered lot of ASICs by altering its functional requirements such that the ASIC design will result in a manufactured chip that does not me"
